User:
anma2640
Hostname:
bhpc-c7-u7-15.rc.int.colorado.edu
CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                36
On-line CPU(s) list:   0-35
Thread(s) per core:    1
Core(s) per socket:    18
Socket(s):             2
NUMA node(s):          2
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 85
Model name:            Intel(R) Xeon(R) Gold 6150 CPU @ 2.70GHz
Stepping:              4
CPU MHz:               2700.000
Computation started at:
Sun Jan 23 20:27:14 MST 2022
git commit: 907a9246ad6cc900389a686f74cb0f6d9b5ba2c5, branch: dqmc, compiled at: Fri Jan 14 23:55:05 MST 2022

nproc used: 36 (NB: stochasticIter below is per proc)

**************************************************************
Input file  :
**************************************************************
{
    "system": {
        "integrals": "FCIDUMP_chol"
    },
    "wavefunction": {
        "right": "rhf",
        "left": "uhf",
        "lef": "multislater",
        "determinants": "dets_0.bin",
        "ndets": "50000"
    },
    "sampling": {
        "seed": "918",
        "phaseless": "true",
        "dt": "0.005000",
        "nsteps": "50",
        "nwalk": "50",
        "choleskyThreshold": "2.0e-3",
        "orthoSteps": "20",
        "stochasticIter": "500"
    }
}

Number of orbitals:  50, nalpha:  5, nbeta:  5
Initial state energy:  (-5.3147713,0)
Number of Cholesky vectors: 249
Using truncated Cholesky with 124 vectors for energy calculations
Initial state energy with truncated Cholesky:  (-5.3156867,0)

Using ROHF RDM for background subtraction

  block     propTime         eshift            weight             energy          cumulative_energy          walltime
     0     0.000e+00       -5.31477e+00     1.80000e+03      -5.314771286e+00               -                1.04e-01 
     1     2.500e-01       -5.36336e+00     1.80438e+03      -5.375997353e+00               -                1.78e+00 
     2     5.000e-01       -5.39578e+00     1.80675e+03      -5.410516715e+00               -                3.42e+00 
     3     7.500e-01       -5.40472e+00     1.80675e+03      -5.429453781e+00               -                5.05e+00 
     4     1.000e+00       -5.41056e+00     1.80638e+03      -5.442433424e+00               -                6.76e+00 
     5     1.250e+00       -5.41281e+00     1.80566e+03      -5.453586591e+00               -                8.48e+00 
     6     1.500e+00       -5.42202e+00     1.80555e+03      -5.460754286e+00               -                1.02e+01 
     7     1.750e+00       -5.41701e+00     1.80419e+03      -5.464772597e+00               -                1.19e+01 
     8     2.000e+00       -5.41714e+00     1.80336e+03      -5.468419359e+00               -                1.36e+01 
     9     2.250e+00       -5.41997e+00     1.80281e+03      -5.471758722e+00               -                1.54e+01 
    10     2.500e+00       -5.41685e+00     1.80178e+03      -5.474410607e+00               -                1.72e+01 
    11     2.750e+00       -5.41501e+00     1.80092e+03      -5.473431318e+00               -                1.89e+01 
    12     3.000e+00       -5.41713e+00     1.80049e+03      -5.473781479e+00               -                2.06e+01 
    13     3.250e+00       -5.42297e+00     1.80046e+03      -5.473527024e+00               -                2.23e+01 
    14     3.500e+00       -5.42578e+00     1.80021e+03      -5.478015972e+00               -                2.39e+01 
    15     3.750e+00       -5.42158e+00     1.79934e+03      -5.477178085e+00               -                2.55e+01 
