User:
anma2640
Hostname:
bhpc-c7-u7-2.rc.int.colorado.edu
CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                36
On-line CPU(s) list:   0-35
Thread(s) per core:    1
Core(s) per socket:    18
Socket(s):             2
NUMA node(s):          2
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 85
Model name:            Intel(R) Xeon(R) Gold 6150 CPU @ 2.70GHz
Stepping:              4
CPU MHz:               2700.000
Computation started at:
Thu Jan 13 14:08:53 MST 2022
git commit: 907a9246ad6cc900389a686f74cb0f6d9b5ba2c5, branch: dqmc, compiled at: Thu Jan 13 13:55:52 MST 2022

nproc used: 36 (NB: stochasticIter below is per proc)

**************************************************************
Input file  :
**************************************************************
{
    "system": {
        "integrals": "FCIDUMP_chol",
        "numAct": "10"
    },
    "wavefunction": {
        "right": "rhf",
        "left": "multislater",
        "determinants": "dets_0.bin",
        "ndets": "50000"
    },
    "sampling": {
        "seed": "918800",
        "phaseless": "true",
        "dt": "0.005000",
        "nsteps": "50",
        "nwalk": "25",
        "choleskyThreshold": "2.0e-3",
        "orthoSteps": "20",
        "stochasticIter": "400"
    }
}

Number of orbitals:  50, nalpha:  5, nbeta:  5
Rankwise number of excitations     1    24   417  2578  7520 10364  7442  2512   411    24
Number of determinants 31294

Initial state energy:  (-5.180537,0)
Number of Cholesky vectors: 260
Using truncated Cholesky with 130 vectors for energy calculations
Initial state energy with truncated Cholesky:  (-5.1822578,0)

Using ROHF RDM for background subtraction

  block     propTime         eshift            weight             energy          cumulative_energy          walltime
     0     0.000e+00       -5.18054e+00     9.00000e+02      -5.180536964e+00               -                2.81e+02 
     1     2.500e-01       -5.18875e+00     9.00370e+02      -5.201999302e+00               -                6.49e+02 
     2     5.000e-01       -5.20525e+00     9.01016e+02      -5.211991922e+00               -                1.05e+03 
     3     7.500e-01       -5.20716e+00     9.00970e+02      -5.216826391e+00               -                1.47e+03 
     4     1.000e+00       -5.20285e+00     9.00635e+02      -5.219066802e+00               -                1.87e+03 
     5     1.250e+00       -5.20080e+00     9.00406e+02      -5.219839904e+00               -                2.27e+03 
     6     1.500e+00       -5.18240e+00     8.99452e+02      -5.220567528e+00               -                2.68e+03 
     7     1.750e+00       -5.19546e+00     8.99923e+02      -5.220095859e+00               -                3.10e+03 
     8     2.000e+00       -5.16042e+00     8.98245e+02      -5.219706922e+00               -                3.51e+03 
     9     2.250e+00       -5.20017e+00     8.99940e+02      -5.218775181e+00               -                3.91e+03 
    10     2.500e+00       -5.20885e+00     9.00253e+02      -5.218544291e+00               -                4.31e+03 
    11     2.750e+00       -5.15759e+00     8.97880e+02      -5.218047039e+00               -                4.70e+03 
    12     3.000e+00       -5.16999e+00     8.98377e+02      -5.216822088e+00               -                5.05e+03 
    13     3.250e+00       -5.15750e+00     8.97768e+02      -5.217297365e+00               -                5.40e+03 
    14     3.500e+00       -4.60467e+00     8.73248e+02      -5.217243026e+00               -                5.76e+03 
    15     3.750e+00       -5.13108e+00     8.96497e+02      -5.216586019e+00               -                6.10e+03 
    16     4.000e+00       -5.03919e+00     8.92354e+02      -5.217401075e+00               -                6.45e+03 
    17     4.250e+00       -5.16710e+00     8.98045e+02      -5.217933101e+00               -                6.79e+03 
    18     4.500e+00       -5.17955e+00     8.98572e+02      -5.217313916e+00               -                7.12e+03 
    19     4.750e+00       -5.17217e+00     8.98213e+02      -5.215676972e+00               -                7.44e+03 
    20     5.000e+00       -5.12138e+00     8.95918e+02      -5.215615264e+00               -                7.76e+03 
    21     5.250e+00       -5.01652e+00     8.91218e+02      -5.215338334e+00               -                8.08e+03 
    22     5.500e+00       -5.09865e+00     8.94874e+02      -5.216581941e+00               -                8.40e+03 
    23     5.750e+00       -5.18328e+00     8.98651e+02      -5.215191499e+00               -                8.73e+03 
    24     6.000e+00       -5.13011e+00     8.96257e+02      -5.215630695e+00               -                9.07e+03 
    25     6.250e+00       -5.15085e+00     8.97177e+02      -5.214504981e+00               -                9.40e+03 
    26     6.500e+00       -4.92452e+00     8.87078e+02      -5.213427626e+00               -                9.74e+03 
    27     6.750e+00       -5.26567e+00     9.02340e+02      -5.212443409e+00               -                1.01e+04 
    28     7.000e+00       -5.11996e+00     8.95796e+02      -5.212149950e+00               -                1.04e+04 
    29     7.250e+00       -5.12016e+00     8.95812e+02      -5.212778829e+00               -                1.08e+04 
    30     7.500e+00       -5.16190e+00     8.97686e+02      -5.212805883e+00               -                1.11e+04 
    31     7.750e+00       -4.50539e+00     8.68700e+02      -5.213611969e+00               -                1.14e+04 
    32     8.000e+00       -4.78764e+00     8.81045e+02      -5.213968418e+00               -                1.18e+04 
    33     8.250e+00       -5.11841e+00     8.95735e+02      -5.213863429e+00               -                1.21e+04 
    34     8.500e+00       -5.25298e+00     9.01780e+02      -5.213554191e+00               -                1.24e+04 
    35     8.750e+00       -5.40040e+00     9.08451e+02      -5.214177926e+00               -                1.28e+04 
    36     9.000e+00       -5.10495e+00     8.95126e+02      -5.214227931e+00               -                1.31e+04 
    37     9.250e+00       -5.22353e+00     9.00447e+02      -5.214016097e+00               -                1.34e+04 
