User:
anma2640
Hostname:
bnode0307
CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                28
On-line CPU(s) list:   0-27
Thread(s) per core:    1
Core(s) per socket:    14
Socket(s):             2
NUMA node(s):          2
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 79
Model name:            Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
Stepping:              1
CPU MHz:               2899.968
Computation started at:
Tue Jan 11 16:14:03 MST 2022
git commit: 907a9246ad6cc900389a686f74cb0f6d9b5ba2c5, branch: dqmc, compiled at: Tue Jan 4 18:32:55 MST 2022

nproc used: 56 (NB: stochasticIter below is per proc)

**************************************************************
Input file  :
**************************************************************
{
    "system": {
        "integrals": "FCIDUMP_chol",
        "numAct": "18"
    },
    "wavefunction": {
        "right": "uhf",
        "left": "multislater",
        "determinants": "dets_0.bin",
        "ndets": "10000"
    },
    "sampling": {
        "seed": "361986",
        "phaseless": "true",
        "dt": "0.005000",
        "nsteps": "50",
        "nwalk": "25",
        "choleskyThreshold": "2.0e-3",
        "orthoSteps": "20",
        "stochasticIter": "500"
    }
}

Number of orbitals:  76, nalpha:  12, nbeta:  8
Rankwise number of excitations    1   40 1164 2894 4086 1525  279   11    0    0
Number of determinants 10000

Initial state energy:  (-102.0875,-0)
Number of Cholesky vectors: 482
Using truncated Cholesky with 289 vectors for energy calculations
Initial state energy with truncated Cholesky:  (-102.08634,-0)

Using ROHF RDM for background subtraction

  block     propTime         eshift            weight             energy          cumulative_energy          walltime
     0     0.000e+00       -1.02087e+02     1.40000e+03      -1.020874979e+02               -                3.73e+01 
     1     2.500e-01       -1.02382e+02     1.42079e+03      -1.024201404e+02               -                9.30e+01 
     2     5.000e-01       -1.02458e+02     1.42383e+03      -1.024898803e+02               -                1.49e+02 
     3     7.500e-01       -1.02471e+02     1.42212e+03      -1.025079300e+02               -                2.05e+02 
     4     1.000e+00       -1.02465e+02     1.41916e+03      -1.025147948e+02               -                2.61e+02 
     5     1.250e+00       -1.02505e+02     1.41972e+03      -1.025256333e+02               -                3.17e+02 
     6     1.500e+00       -1.02518e+02     1.41850e+03      -1.025283766e+02               -                3.73e+02 
     7     1.750e+00       -1.02485e+02     1.41427e+03      -1.025250467e+02               -                4.29e+02 
     8     2.000e+00       -1.02453e+02     1.41028e+03      -1.025150683e+02               -                4.85e+02 
     9     2.250e+00       -1.02481e+02     1.41080e+03      -1.025244390e+02               -                5.42e+02 
    10     2.500e+00       -1.02440e+02     1.40651e+03      -1.025302805e+02               -                5.98e+02 
    11     2.750e+00       -1.02465e+02     1.40696e+03      -1.025424298e+02               -                6.54e+02 
    12     3.000e+00       -1.02458e+02     1.40526e+03      -1.025299286e+02               -                7.10e+02 
    13     3.250e+00       -1.02459e+02     1.40427e+03      -1.025323917e+02               -                7.68e+02 
    14     3.500e+00       -1.02469e+02     1.40402e+03      -1.025315389e+02               -                8.24e+02 
    15     3.750e+00       -1.02491e+02     1.40476e+03      -1.025347387e+02               -                8.80e+02 
    16     4.000e+00       -1.02469e+02     1.40241e+03      -1.025374410e+02               -                9.37e+02 
    17     4.250e+00       -1.02445e+02     1.40000e+03      -1.025404618e+02               -                9.93e+02 
    18     4.500e+00       -1.02481e+02     1.40184e+03      -1.025450451e+02               -                1.05e+03 
    19     4.750e+00       -1.02469e+02     1.40038e+03      -1.025362607e+02               -                1.11e+03 
    20     5.000e+00       -1.02468e+02     1.39982e+03      -1.025430697e+02               -                1.16e+03 
    21     5.250e+00       -1.02400e+02     1.39455e+03      -1.025378599e+02               -                1.22e+03 
    22     5.500e+00       -1.02455e+02     1.39795e+03      -1.025425982e+02               -                1.28e+03 
    23     5.750e+00       -1.02429e+02     1.39578e+03      -1.025277058e+02               -                1.33e+03 
    24     6.000e+00       -1.02435e+02     1.39588e+03      -1.025366020e+02               -                1.39e+03 
    25     6.250e+00       -1.02430e+02     1.39523e+03      -1.025278982e+02               -                1.44e+03 
    26     6.500e+00       -1.02433e+02     1.39523e+03      -1.025313675e+02               -                1.50e+03 
    27     6.750e+00       -1.02401e+02     1.39281e+03      -1.025418566e+02               -                1.56e+03 
    28     7.000e+00       -1.02426e+02     1.39429e+03      -1.025344422e+02               -                1.61e+03 
    29     7.250e+00       -1.02387e+02     1.39141e+03      -1.025239623e+02               -                1.67e+03 
    30     7.500e+00       -1.02411e+02     1.39299e+03      -1.025307155e+02               -                1.73e+03 
    31     7.750e+00       -1.02399e+02     1.39199e+03      -1.025278523e+02               -                1.78e+03 
    32     8.000e+00       -1.02430e+02     1.39405e+03      -1.025369474e+02               -                1.84e+03 
    33     8.250e+00       -1.02419e+02     1.39315e+03      -1.025315252e+02               -                1.89e+03 
    34     8.500e+00       -1.02407e+02     1.39222e+03      -1.025256803e+02               -                1.95e+03 
    35     8.750e+00       -1.02388e+02     1.39082e+03      -1.025357680e+02               -                2.01e+03 
    36     9.000e+00       -1.02413e+02     1.39244e+03      -1.025296304e+02               -                2.06e+03 
