User:
anma2640
Hostname:
bnode0304
CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                28
On-line CPU(s) list:   0-27
Thread(s) per core:    1
Core(s) per socket:    14
Socket(s):             2
NUMA node(s):          2
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 79
Model name:            Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
Stepping:              1
CPU MHz:               2899.968
Computation started at:
Fri Dec 24 08:33:19 MST 2021
git commit: 159ecb412ce6fbd924c19fe68b4b032c9ab3a96f, branch: dqmc, compiled at: Fri Dec 10 18:21:03 MST 2021

nproc used: 56 (NB: stochasticIter below is per proc)

**************************************************************
Input file  :
**************************************************************
{
    "system": {
        "integrals": "FCIDUMP_chol",
        "numAct": "18"
    },
    "wavefunction": {
        "right": "uhf",
        "left": "multislater",
        "determinants": "dets_0.bin",
        "ndets": "100"
    },
    "sampling": {
        "seed": "703964",
        "phaseless": "true",
        "dt": "0.005000",
        "nsteps": "50",
        "nwalk": "25",
        "choleskyThreshold": "2.0e-3",
        "orthoSteps": "20",
        "stochasticIter": "1000"
    }
}

Number of orbitals:  76, nalpha:  13, nbeta:  8
Rankwise number of excitations  1 14 76  9  0  0  0  0  0  0
Number of determinants 100

Initial state energy:  (-119.32126,-0)
Number of Cholesky vectors: 479
Using truncated Cholesky with 287 vectors for energy calculations
Initial state energy with truncated Cholesky:  (-119.3193,-0)

Using ROHF RDM for background subtraction

  block     propTime         eshift            weight             energy          cumulative_energy          walltime
     0     0.000e+00       -1.19321e+02     1.40000e+03      -1.193212579e+02               -                6.46e-01 
     1     2.500e-01       -1.19663e+02     1.42412e+03      -1.197214675e+02               -                1.12e+01 
     2     5.000e-01       -1.19761e+02     1.42823e+03      -1.197888157e+02               -                2.15e+01 
     3     7.500e-01       -1.19798e+02     1.42788e+03      -1.198151391e+02               -                3.18e+01 
     4     1.000e+00       -1.19795e+02     1.42471e+03      -1.198308433e+02               -                4.21e+01 
     5     1.250e+00       -1.19803e+02     1.42256e+03      -1.198348581e+02               -                5.34e+01 
     6     1.500e+00       -1.19785e+02     1.41876e+03      -1.198369171e+02               -                6.40e+01 
     7     1.750e+00       -1.19782e+02     1.41632e+03      -1.198418815e+02               -                7.45e+01 
     8     2.000e+00       -1.19837e+02     1.41809e+03      -1.198425881e+02               -                8.47e+01 
     9     2.250e+00       -1.19803e+02     1.41387e+03      -1.198363983e+02               -                9.49e+01 
    10     2.500e+00       -1.19766e+02     1.40960e+03      -1.198330241e+02               -                1.05e+02 
    11     2.750e+00       -1.19807e+02     1.41106e+03      -1.198373526e+02               -                1.16e+02 
    12     3.000e+00       -1.19803e+02     1.40946e+03      -1.198486873e+02               -                1.26e+02 
    13     3.250e+00       -1.19775e+02     1.40619e+03      -1.198485006e+02               -                1.37e+02 
    14     3.500e+00       -1.19828e+02     1.40882e+03      -1.198536580e+02               -                1.47e+02 
    15     3.750e+00       -1.19754e+02     1.40253e+03      -1.198364121e+02               -                1.58e+02 
    16     4.000e+00       -1.19802e+02     1.40509e+03      -1.198434192e+02               -                1.68e+02 
    17     4.250e+00       -1.19773e+02     1.40223e+03      -1.198523122e+02               -                1.78e+02 
    18     4.500e+00       -1.19781e+02     1.40203e+03      -1.198448654e+02               -                1.89e+02 
    19     4.750e+00       -1.19782e+02     1.40148e+03      -1.198385985e+02               -                1.99e+02 
    20     5.000e+00       -1.19750e+02     1.39870e+03      -1.198419980e+02               -                2.09e+02 
    21     5.250e+00       -1.19763e+02     1.39904e+03      -1.198394141e+02               -                2.19e+02 
    22     5.500e+00       -1.19766e+02     1.39887e+03      -1.198513518e+02               -                2.30e+02 
    23     5.750e+00       -1.19801e+02     1.40079e+03      -1.198366398e+02               -                2.40e+02 
    24     6.000e+00       -1.19804e+02     1.40068e+03      -1.198504455e+02               -                2.50e+02 
    25     6.250e+00       -1.19805e+02     1.40037e+03      -1.198562548e+02               -                2.61e+02 
    26     6.500e+00       -1.19788e+02     1.39880e+03      -1.198634781e+02               -                2.71e+02 
    27     6.750e+00       -1.19770e+02     1.39712e+03      -1.198454798e+02               -                2.82e+02 
    28     7.000e+00       -1.19773e+02     1.39710e+03      -1.198353991e+02               -                2.92e+02 
    29     7.250e+00       -1.19776e+02     1.39714e+03      -1.198347484e+02               -                3.02e+02 
    30     7.500e+00       -1.19788e+02     1.39789e+03      -1.198396825e+02               -                3.13e+02 
    31     7.750e+00       -1.19762e+02     1.39591e+03      -1.198353111e+02               -                3.23e+02 
    32     8.000e+00       -1.19766e+02     1.39609e+03      -1.198439781e+02               -                3.33e+02 
    33     8.250e+00       -1.19811e+02     1.39904e+03      -1.198535289e+02               -                3.44e+02 
    34     8.500e+00       -1.19770e+02     1.39603e+03      -1.198523156e+02               -                3.55e+02 
    35     8.750e+00       -1.19776e+02     1.39625e+03      -1.198580918e+02               -                3.65e+02 
    36     9.000e+00       -1.19806e+02     1.39811e+03      -1.198458174e+02               -                3.76e+02 
    37     9.250e+00       -1.19748e+02     1.39399e+03      -1.198426959e+02               -                3.87e+02 
    38     9.500e+00       -1.19749e+02     1.39398e+03      -1.198497708e+02               -                3.97e+02 
    39     9.750e+00       -1.19789e+02     1.39671e+03      -1.198554220e+02               -                4.08e+02 
    40     1.000e+01       -1.19767e+02     1.39501e+03      -1.198544916e+02        -1.198544916e+02        4.18e+02 
    41     1.025e+01       -1.19803e+02     1.39743e+03      -1.198700457e+02        -1.198622754e+02        4.29e+02 
    42     1.050e+01       -1.19776e+02     1.39531e+03      -1.198595224e+02        -1.198613581e+02        4.40e+02 
    43     1.075e+01       -1.19762e+02     1.39426e+03      -1.198544132e+02        -1.198596235e+02        4.51e+02 
    44     1.100e+01       -1.19760e+02     1.39404e+03      -1.198602008e+02        -1.198597388e+02        4.61e+02 
    45     1.125e+01       -1.19745e+02     1.39290e+03      -1.198758359e+02        -1.198624180e+02        4.71e+02 
    46     1.150e+01       -1.19792e+02     1.39593e+03      -1.198565409e+02        -1.198615778e+02        4.82e+02 
    47     1.175e+01       -1.19748e+02     1.39283e+03      -1.198385132e+02        -1.198586986e+02        4.92e+02 
    48     1.200e+01       -1.19772e+02     1.39460e+03      -1.198592556e+02        -1.198587605e+02        5.02e+02 
    49     1.225e+01       -1.19736e+02     1.39202e+03      -1.198497391e+02        -1.198578599e+02        5.12e+02 
    50     1.250e+01       -1.19763e+02     1.39392e+03      -1.198551503e+02        -1.198576137e+02        5.23e+02 
    51     1.275e+01       -1.19725e+02     1.39121e+03      -1.198471448e+02        -1.198567431e+02        5.33e+02 
    52     1.300e+01       -1.19722e+02     1.39106e+03      -1.198609779e+02        -1.198570682e+02        5.43e+02 
    53     1.325e+01       -1.19748e+02     1.39281e+03      -1.198562644e+02        -1.198570108e+02        5.53e+02 
    54     1.350e+01       -1.19748e+02     1.39276e+03      -1.198588375e+02        -1.198571325e+02        5.63e+02 
    55     1.375e+01       -1.19736e+02     1.39188e+03      -1.198609098e+02        -1.198573683e+02        5.73e+02 
    56     1.400e+01       -1.19718e+02     1.39057e+03      -1.198459450e+02        -1.198566977e+02        5.83e+02 
    57     1.425e+01       -1.19752e+02     1.39297e+03      -1.198447206e+02        -1.198560325e+02        5.93e+02 
    58     1.450e+01       -1.19773e+02     1.39451e+03      -1.198442368e+02        -1.198554112e+02        6.04e+02 
    59     1.475e+01       -1.19737e+02     1.39207e+03      -1.198442325e+02        -1.198548529e+02        6.14e+02 
    60     1.500e+01       -1.19733e+02     1.39179e+03      -1.198554225e+02        -1.198548799e+02        6.24e+02 
    61     1.525e+01       -1.19743e+02     1.39246e+03      -1.198437998e+02        -1.198543766e+02        6.34e+02 
    62     1.550e+01       -1.19752e+02     1.39318e+03      -1.198494601e+02        -1.198541629e+02        6.45e+02 
    63     1.575e+01       -1.19734e+02     1.39186e+03      -1.198522616e+02        -1.198540837e+02        6.56e+02 
    64     1.600e+01       -1.19734e+02     1.39185e+03      -1.198528647e+02        -1.198540350e+02        6.66e+02 
    65     1.625e+01       -1.19720e+02     1.39090e+03      -1.198565339e+02        -1.198541310e+02        6.76e+02 
    66     1.650e+01       -1.19757e+02     1.39345e+03      -1.198498393e+02        -1.198539720e+02        6.87e+02 
    67     1.675e+01       -1.19764e+02     1.39394e+03      -1.198583806e+02        -1.198541295e+02        6.97e+02 
    68     1.700e+01       -1.19712e+02     1.39025e+03      -1.198492906e+02        -1.198539630e+02        7.07e+02 
    69     1.725e+01       -1.19741e+02     1.39229e+03      -1.198519884e+02        -1.198538972e+02        7.17e+02 
    70     1.750e+01       -1.19703e+02     1.38967e+03      -1.198378406e+02        -1.198533804e+02        7.28e+02 
    71     1.775e+01       -1.19729e+02     1.39151e+03      -1.198401600e+02        -1.198529677e+02        7.38e+02 
    72     1.800e+01       -1.19759e+02     1.39373e+03      -1.198620450e+02        -1.198532429e+02        7.48e+02 
    73     1.825e+01       -1.19749e+02     1.39291e+03      -1.198525159e+02        -1.198532216e+02        7.58e+02 
    74     1.850e+01       -1.19755e+02     1.39331e+03      -1.198476886e+02        -1.198530634e+02        7.68e+02 
    75     1.875e+01       -1.19738e+02     1.39217e+03      -1.198654835e+02        -1.198534083e+02        7.79e+02 
    76     1.900e+01       -1.19746e+02     1.39259e+03      -1.198599602e+02        -1.198535853e+02        7.89e+02 
    77     1.925e+01       -1.19712e+02     1.39017e+03      -1.198596210e+02        -1.198537438e+02        7.99e+02 
    78     1.950e+01       -1.19706e+02     1.38974e+03      -1.198561135e+02        -1.198538045e+02        8.09e+02 
    79     1.975e+01       -1.19728e+02     1.39125e+03      -1.198703877e+02        -1.198542186e+02        8.20e+02 
    80     2.000e+01       -1.19738e+02     1.39183e+03      -1.198342554e+02        -1.198537320e+02        8.30e+02 
    81     2.025e+01       -1.19735e+02     1.39178e+03      -1.198490415e+02        -1.198536204e+02        8.40e+02 
    82     2.050e+01       -1.19732e+02     1.39155e+03      -1.198562758e+02        -1.198536821e+02        8.50e+02 
    83     2.075e+01       -1.19718e+02     1.39059e+03      -1.198582717e+02        -1.198537863e+02        8.60e+02 
    84     2.100e+01       -1.19702e+02     1.38943e+03      -1.198602390e+02        -1.198539293e+02        8.71e+02 
    85     2.125e+01       -1.19703e+02     1.38948e+03      -1.198510108e+02        -1.198538660e+02        8.81e+02 
    86     2.150e+01       -1.19717e+02     1.39046e+03      -1.198549109e+02        -1.198538882e+02        8.91e+02 
    87     2.175e+01       -1.19716e+02     1.39037e+03      -1.198722424e+02        -1.198542701e+02        9.01e+02 
    88     2.200e+01       -1.19708e+02     1.38969e+03      -1.198459734e+02        -1.198541011e+02        9.11e+02 
    89     2.225e+01       -1.19707e+02     1.38966e+03      -1.198324986e+02        -1.198536698e+02        9.21e+02 
    90     2.250e+01       -1.19717e+02     1.39056e+03      -1.198550931e+02        -1.198536977e+02        9.31e+02 
    91     2.275e+01       -1.19712e+02     1.39014e+03      -1.198437858e+02        -1.198535073e+02        9.41e+02 
    92     2.300e+01       -1.19706e+02     1.38981e+03      -1.198355434e+02        -1.198531690e+02        9.52e+02 
    93     2.325e+01       -1.19696e+02     1.38926e+03      -1.198521250e+02        -1.198531497e+02        9.62e+02 
    94     2.350e+01       -1.19688e+02     1.38868e+03      -1.198328235e+02        -1.198527810e+02        9.72e+02 
    95     2.375e+01       -1.19724e+02     1.39129e+03      -1.198461091e+02        -1.198526619e+02        9.82e+02 
    96     2.400e+01       -1.19651e+02     1.38625e+03      -1.198357653e+02        -1.198523667e+02        9.92e+02 
    97     2.425e+01       -1.19712e+02     1.39054e+03      -1.198532358e+02        -1.198523817e+02        1.00e+03 
    98     2.450e+01       -1.19721e+02     1.39114e+03      -1.198619414e+02        -1.198525436e+02        1.01e+03 
    99     2.475e+01       -1.19706e+02     1.39001e+03      -1.198511183e+02        -1.198525199e+02        1.02e+03 
   100     2.500e+01       -1.19708e+02     1.39017e+03      -1.198485658e+02        -1.198524551e+02        1.03e+03 
   101     2.525e+01       -1.19686e+02     1.38862e+03      -1.198436472e+02        -1.198523134e+02        1.04e+03 
   102     2.550e+01       -1.19737e+02     1.39217e+03      -1.198424964e+02        -1.198521575e+02        1.05e+03 
   103     2.575e+01       -1.19713e+02     1.39055e+03      -1.198338559e+02        -1.198518718e+02        1.06e+03 
   104     2.600e+01       -1.19704e+02     1.39007e+03      -1.198395859e+02        -1.198516830e+02        1.07e+03 
   105     2.625e+01       -1.19710e+02     1.39054e+03      -1.198561802e+02        -1.198517511e+02        1.08e+03 
   106     2.650e+01       -1.19707e+02     1.39025e+03      -1.198429153e+02        -1.198516193e+02        1.09e+03 
